,name,price,quantity_sold,shop_name,url
13,"Quần jean nam Baggy phom suông rộng TR01, quần bò nam ống đứng hottrend hàn quốc 2023",145.000,"Đã bán 117,8k",,https://shopee.vn/Quần-jean-nam-Baggy-phom-suông-rộng-TR01-quần-bò-nam-ống-đứng-hottrend-hàn-quốc-2023-i.119017165.5170782167?sp_atk=b55903be-2c52-4dfe-8164-3507df8db3cf&xptdk=b55903be-2c52-4dfe-8164-3507df8db3cf
14,Quần Jean Rách Màu Đen Phong Cách Âu Mỹ Thời Trang Mùa Hè Cho Nữ,179.139,Đã bán 341,,https://shopee.vn/Quần-Jean-Rách-Màu-Đen-Phong-Cách-Âu-Mỹ-Thời-Trang-Mùa-Hè-Cho-Nữ-i.734451476.17043703648?sp_atk=e6b23486-776b-4015-b7a8-a6a8a4bdd967&xptdk=e6b23486-776b-4015-b7a8-a6a8a4bdd967
15,Quần Jean Lưng Cao Ống Suông Thời Trang Retro Đường Phố Mỹ Cho Nữ,252.000,Đã bán 96,,https://shopee.vn/Quần-Jean-Lưng-Cao-Ống-Suông-Thời-Trang-Retro-Đường-Phố-Mỹ-Cho-Nữ-i.460971368.20343261368?sp_atk=30d641d3-1e93-4e31-9dd9-8f62b9e772d8&xptdk=30d641d3-1e93-4e31-9dd9-8f62b9e772d8
16,Quần jean đen nam baggy Wash 2 màu xám ống suông rộng dáng đứng vải jeans bò cao cấp 20WE SR01 hottrend 2022,139.000,"Đã bán 10,4k",,https://shopee.vn/Quần-jean-đen-nam-baggy-Wash-2-màu-xám-ống-suông-rộng-dáng-đứng-vải-jeans-bò-cao-cấp-20WE-SR01-hottrend-2022-i.119017165.6468244078?sp_atk=9fcc9ced-d0c5-4cc8-9648-538123e927cf&xptdk=9fcc9ced-d0c5-4cc8-9648-538123e927cf
17,Quần Bò Ống Suông Rộng Nữ TDSHOPNT Lưng Cao 2 Cúc Dáng Baggy Suông Cá Tính Q125,139.000,"Đã bán 15,3k",,https://shopee.vn/Quần-Bò-Ống-Suông-Rộng-Nữ-TDSHOPNT-Lưng-Cao-2-Cúc-Dáng-Baggy-Suông-Cá-Tính-Q125-i.66495466.10844326345?sp_atk=4dc94e17-fa0e-415d-986a-815dd0ac58fb&xptdk=4dc94e17-fa0e-415d-986a-815dd0ac58fb
18,Quần Jean Ống Rộng Lưng Cao Thêu Chữ Màu Xanh Siêu Cá Tính,239.000,Đã bán 820,,https://shopee.vn/Quần-Jean-Ống-Rộng-Lưng-Cao-Thêu-Chữ-Màu-Xanh-Siêu-Cá-Tính-i.316600188.19042414910?sp_atk=64987ceb-f0fe-4443-af31-81c17c07aa26&xptdk=64987ceb-f0fe-4443-af31-81c17c07aa26
19,Quần Jean Ống Suông Dài Nữ Lưng Cao Cao Cấp Cực Hot OHS3100,114.000,Đã bán 35k,,https://shopee.vn/Quần-Jean-Ống-Suông-Dài-Nữ-Lưng-Cao-Cao-Cấp-Cực-Hot-OHS3100-i.39263040.2623882985?sp_atk=f185fcc8-3bd4-45e8-be5e-fb052c6c253d&xptdk=f185fcc8-3bd4-45e8-be5e-fb052c6c253d
20,Quần baggy nam quần jean nam ống rộng suông đứng chất bò cao cấp PATADO TR01,135.000,"Đã bán 3,1k",,https://shopee.vn/Quần-baggy-nam-quần-jean-nam-ống-rộng-suông-đứng-chất-bò-cao-cấp-PATADO-TR01-i.439735650.11608197190?sp_atk=f6704169-6b47-464e-9e78-9b6ecb94c864&xptdk=f6704169-6b47-464e-9e78-9b6ecb94c864
21,Quần jean ống suông nam phối khóa kéo phong cách hàn quốc quần bò nữ ống đứng unisex bigsize from rộng fashion jeans nam,269.000,Đã bán 63,,https://shopee.vn/Quần-jean-ống-suông-nam-phối-khóa-kéo-phong-cách-hàn-quốc-quần-bò-nữ-ống-đứng-unisex-bigsize-from-rộng-fashion-jeans-nam-i.410938293.19229576191?sp_atk=48eadec3-0884-4943-bb3f-9c75820aa5d3&xptdk=48eadec3-0884-4943-bb3f-9c75820aa5d3
22,QUẦN JEAN ỐNG RỘNG NỮ LƯNG CAO MÀU XANH NHẠT 2 NÚT LAI TUA VẠT CHÉO LƯNG TRÊN CẢ TUYỆT VỜI MANG CẢM HỨNG ĐỘC ĐÁO LẠ MẮT,125.000,"Đã bán 6,9k",,https://shopee.vn/QUẦN-JEAN-ỐNG-RỘNG-NỮ-LƯNG-CAO-MÀU-XANH-NHẠT-2-NÚT-LAI-TUA-VẠT-CHÉO-LƯNG-TRÊN-CẢ-TUYỆT-VỜI-MANG-CẢM-HỨNG-ĐỘC-ĐÁO-LẠ-MẮT-i.174632334.4046379791?sp_atk=f888b724-ccac-4270-99d4-81c3fab88ccf&xptdk=f888b724-ccac-4270-99d4-81c3fab88ccf
23,Quần jean baggy nam nữ  thêu thánh giá mã 006 quần baggy ống suông dáng hàn quốc 2022 unisex kun shop,250.000,"Đã bán 2,6k",,https://shopee.vn/Quần-jean-baggy-nam-nữ-thêu-thánh-giá-mã-006-quần-baggy-ống-suông-dáng-hàn-quốc-2022-unisex-kun-shop-i.133725512.17973519483?sp_atk=423fa5b0-81b9-4f72-b2e4-7a801e19c418&xptdk=423fa5b0-81b9-4f72-b2e4-7a801e19c418
24,Quần ống rộng nữ dây rút túi phong cách MRQ011G,178.450,"Đã bán 19,1k",,https://shopee.vn/Quần-ống-rộng-nữ-dây-rút-túi-phong-cách-MRQ011G-i.152470224.21634260942?sp_atk=e70e1d08-db65-45f3-9735-5c8930eb495a&xptdk=e70e1d08-db65-45f3-9735-5c8930eb495a
25,"Quần jean nam chữ thập ống suông rộng 20WE,Quần bò chữ thập thêu thánh giá xanh đen chất vải cao cấp cá tính 2023",155.000,"Đã bán 4,6k",,https://shopee.vn/Quần-jean-nam-chữ-thập-ống-suông-rộng-20WE-Quần-bò-chữ-thập-thêu-thánh-giá-xanh-đen-chất-vải-cao-cấp-cá-tính-2023-i.119017165.9556717611?sp_atk=2c587f3a-de61-47f3-a87b-0ad90bfc6cc2&xptdk=2c587f3a-de61-47f3-a87b-0ad90bfc6cc2
26,Quần Ống Rộng Kaki Siêu Hot,115.000,Đã bán 10k,,https://shopee.vn/Quần-Ống-Rộng-Kaki-Siêu-Hot-i.408882766.18108990691?sp_atk=fa5b885c-2300-47da-b90e-0a189c86b764&xptdk=fa5b885c-2300-47da-b90e-0a189c86b764
27,🔥Baggy Jeans Lưng Cao Rách Nhiều,99.000,Đã bán 390,,https://shopee.vn/🔥Baggy-Jeans-Lưng-Cao-Rách-Nhiều-i.108163894.7035242081?sp_atk=53037a7d-9323-4a84-8606-12653379d1e3&xptdk=53037a7d-9323-4a84-8606-12653379d1e3
28,Quần jean nam màu xanh nhạt không rách gối chất bò cao cấp co dãn 4 chiều from dáng baggy skinny ADO70 mẫu mới,149.000,Đã bán 20,,https://shopee.vn/Quần-jean-nam-màu-xanh-nhạt-không-rách-gối-chất-bò-cao-cấp-co-dãn-4-chiều-from-dáng-baggy-skinny-ADO70-mẫu-mới-i.389747365.8245877106?sp_atk=9fee29d5-ee55-4831-8dfc-6633cfaba8f7&xptdk=9fee29d5-ee55-4831-8dfc-6633cfaba8f7
29,Quần Jeans Ống Rộng Xám - Quần Ống Rộng Nữ Dáng Suông Jeans Lưng Cao Ulzzang Q41,115.000,"Đã bán 14,3k",,https://shopee.vn/Quần-Jeans-Ống-Rộng-Xám-Quần-Ống-Rộng-Nữ-Dáng-Suông-Jeans-Lưng-Cao-Ulzzang-Q41-i.276087485.8758157140?sp_atk=c2ac6294-e96e-4ef6-b4f1-f9d2174e50c5&xptdk=c2ac6294-e96e-4ef6-b4f1-f9d2174e50c5
30,"Quần baggy kaki suông Chollima QD045 basic nhiều màu,mặc mát, dễ phối đồ phong cách trẻ hàn quốc",119.800,"Đã bán 5,6k",,https://shopee.vn/Quần-baggy-kaki-suông-Chollima-QD045-basic-nhiều-màu-mặc-mát-dễ-phối-đồ-phong-cách-trẻ-hàn-quốc-i.317753260.17939811938?sp_atk=c2f03d8e-4a1a-412f-87dc-f837f26457dd&xptdk=c2f03d8e-4a1a-412f-87dc-f837f26457dd
31,Cocory vn Quần Jean Dài Lưng Cao Ống Suông Thời Trang Đường Phố Cá Tính Cho Nữ,249.000,"Đã bán 1,5k",,https://shopee.vn/Cocory-vn-Quần-Jean-Dài-Lưng-Cao-Ống-Suông-Thời-Trang-Đường-Phố-Cá-Tính-Cho-Nữ-i.332345704.18108793591?sp_atk=d150f0db-02a8-463e-944d-d4ca91422e97&xptdk=d150f0db-02a8-463e-944d-d4ca91422e97
32,"Quần jean vá da,Quần bò vá da AIMIRI khâu viền 🔥 Cao cấp SIÊU HOT",219.000,Đã bán 1k,,https://shopee.vn/Quần-jean-vá-da-Quần-bò-vá-da-AIMIRI-khâu-viền-🔥-Cao-cấp-SIÊU-HOT-i.883788875.20062911302?sp_atk=a40cda24-08ed-40bc-8ba8-4b864c0c2d3d&xptdk=a40cda24-08ed-40bc-8ba8-4b864c0c2d3d
33,Quần jean Xiaozhainv ống rộng lưng cao phong cách mùa xuân kiểu Hàn Quốc năng động,234.000,"Đã bán 1,5k",,https://shopee.vn/Quần-jean-Xiaozhainv-ống-rộng-lưng-cao-phong-cách-mùa-xuân-kiểu-Hàn-Quốc-năng-động-i.64595367.9998512409?sp_atk=a2664779-424c-4263-b05e-0a8c29c24321&xptdk=a2664779-424c-4263-b05e-0a8c29c24321
34,Quần jeans suông ống rộng lưng cao rách túi QC TNGER,115.500,Đã bán 1k,,https://shopee.vn/Quần-jeans-suông-ống-rộng-lưng-cao-rách-túi-QC-TNGER-i.33273439.16887959407?sp_atk=35b0702e-995d-493d-83d9-545596ba5e4a&xptdk=35b0702e-995d-493d-83d9-545596ba5e4a
35,"Hana quần ống rộng hot trend 2023, quần ống rộng cạp thấp y2k 2023 NEW FE1002",169.000,Đã bán 363,,https://shopee.vn/Hana-quần-ống-rộng-hot-trend-2023-quần-ống-rộng-cạp-thấp-y2k-2023-NEW-FE1002-i.902636681.19172577045?sp_atk=732f6b6d-b911-4311-94e8-55805c0059bf&xptdk=732f6b6d-b911-4311-94e8-55805c0059bf
