,name,price,quantity_sold,shop_name,url
14,[FREESHIP]Áo Khoác HOODIE Nam Nữ SO PHỐI 2 MÀU Chất Vải Dày Dặn Ấm Áp,65.000,"Đã bán 2,8k",,https://shopee.vn/-FREESHIP-Áo-Khoác-HOODIE-Nam-Nữ-SO-PHỐI-2-MÀU-Chất-Vải-Dày-Dặn-Ấm-Áp-i.160417625.9221031855?sp_atk=cf8eb2d5-545a-4e53-9fa5-e734add00075&xptdk=cf8eb2d5-545a-4e53-9fa5-e734add00075
15,Áo Khoác Nỉ Hoodie Nam Nữ Unisex Trơn Màu Thời Trang Zenkonu AO KHOAC NAM 043V1,75.000,Đã bán 886,,https://shopee.vn/Áo-Khoác-Nỉ-Hoodie-Nam-Nữ-Unisex-Trơn-Màu-Thời-Trang-Zenkonu-AO-KHOAC-NAM-043V1-i.16580482.20729381265?sp_atk=c454e6a7-c2bc-452b-b627-ba4bf64f921e&xptdk=c454e6a7-c2bc-452b-b627-ba4bf64f921e
16,Áo khoác thể thao cổ đứng dáng rộng thoải mái thời trang xuân thu cho các cặp đôi,249.000,Đã bán 1k,,https://shopee.vn/Áo-khoác-thể-thao-cổ-đứng-dáng-rộng-thoải-mái-thời-trang-xuân-thu-cho-các-cặp-đôi-i.430810672.16551023868?sp_atk=50e3d40b-3be3-406c-989e-f0603d9341b0&xptdk=50e3d40b-3be3-406c-989e-f0603d9341b0
17,[HOT TREND] ÁO KHOÁC KAKI JEAN NAM ĐẸP THỜI TRANG MỚI NHẤT 2019 KKN01,135.000,"Đã bán 69,2k",,https://shopee.vn/-HOT-TREND-ÁO-KHOÁC-KAKI-JEAN-NAM-ĐẸP-THỜI-TRANG-MỚI-NHẤT-2019-KKN01-i.167989440.2623103363?sp_atk=5b33376a-294e-42fe-8f98-9d849d6de5d1&xptdk=5b33376a-294e-42fe-8f98-9d849d6de5d1
18,"Áo Khoác,Áo Gió TEELAB Phối 3 Màu Unisex Nam Nữ",148.500,"Đã bán 4,8k",,https://shopee.vn/Áo-Khoác-Áo-Gió-TEELAB-Phối-3-Màu-Unisex-Nam-Nữ-i.16771696.22800734705?sp_atk=448ec21b-5a1d-4671-ad30-439c63b9c977&xptdk=448ec21b-5a1d-4671-ad30-439c63b9c977
19,Áo khoác bomber gió 2 lớp thêu chữ cực xinh,199.000,Đã bán 866,,https://shopee.vn/Áo-khoác-bomber-gió-2-lớp-thêu-chữ-cực-xinh-i.339982771.14690917609?sp_atk=da1bf775-630f-4c3c-9c7c-a93359556a1e&xptdk=da1bf775-630f-4c3c-9c7c-a93359556a1e
20,"Áo khoác Hoodie Nam, Nữ Hoodie Basic Unisex Nỉ From Rộng Màu Xám - Basic Boutique HDT900",149.000,"Đã bán 3,9k",,https://shopee.vn/Áo-khoác-Hoodie-Nam-Nữ-Hoodie-Basic-Unisex-Nỉ-From-Rộng-Màu-Xám-Basic-Boutique-HDT900-i.346522633.8576853060?sp_atk=9b3fd888-371c-4e0b-b2e7-a8399a75ce0c&xptdk=9b3fd888-371c-4e0b-b2e7-a8399a75ce0c
21,Áo Khoác Gió Nam Nữ – ÁO KHOÁC Gió 2 Lớp Nam Nữ (Ảnh Thật/như hình) D30,79.000,"Đã bán 9,2k",,https://shopee.vn/Áo-Khoác-Gió-Nam-Nữ-–-ÁO-KHOÁC-Gió-2-Lớp-Nam-Nữ-(Ảnh-Thật-như-hình)-D30-i.460257458.3891290785?sp_atk=43781ad8-1c76-47ed-9990-052cf46b2261&xptdk=43781ad8-1c76-47ed-9990-052cf46b2261
22,Áo KHOÁC Hoodie CHOOSE và Ulzzang Unisex 1hitshop,179.000,"Đã bán 22,7k",,https://shopee.vn/Áo-KHOÁC-Hoodie-CHOOSE-và-Ulzzang-Unisex-1hitshop-i.71861331.11871899560?sp_atk=1cea6619-d120-4afd-8028-81f28679453b&xptdk=1cea6619-d120-4afd-8028-81f28679453b
23,Áo CARDIGAN FIDE XINH XẮN TOY 02,299.000,Đã bán 9,,https://shopee.vn/Áo-CARDIGAN-FIDE-XINH-XẮN-TOY-02-i.495701296.20674760556?sp_atk=b3cc63b6-3b96-4281-987d-b8bd948064ec&xptdk=b3cc63b6-3b96-4281-987d-b8bd948064ec
24,Aiden. Áo Khoác Tay Dài Dáng Rộng Thời Trang Nhật Bản Cá Tính Cho Nam,312.000,Đã bán 6,,https://shopee.vn/Aiden.-Áo-Khoác-Tay-Dài-Dáng-Rộng-Thời-Trang-Nhật-Bản-Cá-Tính-Cho-Nam-i.947035926.23628360417?sp_atk=19b7df33-4997-4e17-83f4-b48d2e7d1fd8&xptdk=19b7df33-4997-4e17-83f4-b48d2e7d1fd8
25,ÁO KHOÁC NHẸ NAM NỮ 2 LỚP THU ĐÔNG FOM RỘNG HỌA TIẾT PHỐI VIỀN SỌC TAY ĐƠN GIẢN HÓT TRIEND 2021,89.000,"Đã bán 10,4k",,https://shopee.vn/ÁO-KHOÁC-NHẸ-NAM-NỮ-2-LỚP-THU-ĐÔNG-FOM-RỘNG-HỌA-TIẾT-PHỐI-VIỀN-SỌC-TAY-ĐƠN-GIẢN-HÓT-TRIEND-2021-i.17475845.13836258622?sp_atk=8bffd0ae-5cf8-4725-ab5f-3d49efe04bb0&xptdk=8bffd0ae-5cf8-4725-ab5f-3d49efe04bb0
26,"Áo Khoác Chống Nước, Chống Nắng khóa chéo cực đẹp, thời trang, chất lượng và siêu hottrend!",260.000,Đã bán 638,,https://shopee.vn/Áo-Khoác-Chống-Nước-Chống-Nắng-khóa-chéo-cực-đẹp-thời-trang-chất-lượng-và-siêu-hottrend!-i.207962048.2930771390?sp_atk=a6219177-3339-4c43-9f93-1fa0f4f14bab&xptdk=a6219177-3339-4c43-9f93-1fa0f4f14bab
27,[FREESHIP]Áo Khoác HOODIE Nam Nữ BÉ MA CÓ SỪNG Chất Vải Dày Dặn Ấm Áp,65.000,"Đã bán 2,2k",,https://shopee.vn/-FREESHIP-Áo-Khoác-HOODIE-Nam-Nữ-BÉ-MA-CÓ-SỪNG-Chất-Vải-Dày-Dặn-Ấm-Áp-i.160417625.9621022753?sp_atk=13c18bc6-e8c1-45e3-99a3-9998e6000d40&xptdk=13c18bc6-e8c1-45e3-99a3-9998e6000d40
28,ÁO KHOÁC DÙ BÓNG CHÀY NAM TM 21 CHẤT VẢI DÀY FORM CHUẨN Y HÌNH KIỂU DÁNG BOMBER - GU FASHION VN,84.000,"Đã bán 2,5k",,https://shopee.vn/ÁO-KHOÁC-DÙ-BÓNG-CHÀY-NAM-TM-21-CHẤT-VẢI-DÀY-FORM-CHUẨN-Y-HÌNH-KIỂU-DÁNG-BOMBER-GU-FASHION-VN-i.410846282.9132448962?sp_atk=e55b45ac-6a20-4564-8fd0-67869288763e&xptdk=e55b45ac-6a20-4564-8fd0-67869288763e
29,Áo khoác dù 7ZIA 3 màu phối retro / ProjectSeven,400.000,Đã bán 506,,https://shopee.vn/Áo-khoác-dù-7ZIA-3-màu-phối-retro-ProjectSeven-i.322123022.23713151934?sp_atk=8e0f5128-5d0c-4bc5-b03e-3d767dac6a10&xptdk=8e0f5128-5d0c-4bc5-b03e-3d767dac6a10
30,Áo khoác dù jacket nam màu đen xám TEM SU WZS vải dù 2 lớp có túi trong form rộng khoác ngoài nam nữ( hàng đặt),189.000,Đã bán 91,,https://shopee.vn/Áo-khoác-dù-jacket-nam-màu-đen-xám-TEM-SU-WZS-vải-dù-2-lớp-có-túi-trong-form-rộng-khoác-ngoài-nam-nữ(-hàng-đặt)-i.51813198.20469604666?sp_atk=e6865041-5dbc-4e8b-9a6c-f9253793fe83&xptdk=e6865041-5dbc-4e8b-9a6c-f9253793fe83
31,Áo Khoác Phi Công Dáng Ngắn Thời Trang Cá Tính Cho Nam,276.000,Đã bán 7,,https://shopee.vn/Áo-Khoác-Phi-Công-Dáng-Ngắn-Thời-Trang-Cá-Tính-Cho-Nam-i.947035926.17793204045?sp_atk=129b9c58-2c88-40a9-bf12-bc22e646ee7e&xptdk=129b9c58-2c88-40a9-bf12-bc22e646ee7e
32,Áo Khoác Bomber NEW YORK - phong cách nam nữ WILL SHOP chất nỉ bông cotton,144.000,"Đã bán 13,3k",,https://shopee.vn/Áo-Khoác-Bomber-NEW-YORK-phong-cách-nam-nữ-WILL-SHOP-chất-nỉ-bông-cotton-i.368338360.15760786084?sp_atk=8178a294-3d55-425f-bb43-7ac742ac5ce9&xptdk=8178a294-3d55-425f-bb43-7ac742ac5ce9
33,ÁO HOODIE - ÁO KHOÁC NỈ NGOẠI Dây full zip (Ảnh Thật) HOOIDE MỚI in mặt cười,85.000,"Đã bán 5,2k",,https://shopee.vn/ÁO-HOODIE-ÁO-KHOÁC-NỈ-NGOẠI-Dây-full-zip-(Ảnh-Thật)-HOOIDE-MỚI-in-mặt-cười-i.66198898.7988894777?sp_atk=34e9f438-04ac-4186-a8ab-12ac2a3659a7&xptdk=34e9f438-04ac-4186-a8ab-12ac2a3659a7
34,Áo khoác nam unisex cổ trụ vải dù nhật 2 lớp phong cách trường học hàn quốc họa tiết chữ At7 .,99.000,"Đã bán 4,5k",,https://shopee.vn/Áo-khoác-nam-unisex-cổ-trụ-vải-dù-nhật-2-lớp-phong-cách-trường-học-hàn-quốc-họa-tiết-chữ-At7-.-i.17475845.19114558641?sp_atk=0a8dff8d-77dc-4b41-a10a-fb11ed4ae35e&xptdk=0a8dff8d-77dc-4b41-a10a-fb11ed4ae35e
35,"Áo Khoác Gió SENTINIALS 2 lớp siêu trẻ trung, Áo Khoác Dù Unisex Nam Nữ",128.000,"Đã bán 3,4k",,https://shopee.vn/Áo-Khoác-Gió-SENTINIALS-2-lớp-siêu-trẻ-trung-Áo-Khoác-Dù-Unisex-Nam-Nữ-i.568775121.21133383116?sp_atk=9c3f6bdd-a14f-46a0-8fba-58c5002645df&xptdk=9c3f6bdd-a14f-46a0-8fba-58c5002645df
36,ÁO KHOÁC GIÓ UNIXEX FORM RỘNG MS 80 SOTO,99.999,Đã bán 451,,https://shopee.vn/ÁO-KHOÁC-GIÓ-UNIXEX-FORM-RỘNG-MS-80-SOTO-i.34880242.3733323609?sp_atk=bee6ff06-4169-4fe1-8c88-3718a55193ef&xptdk=bee6ff06-4169-4fe1-8c88-3718a55193ef
37,[SẴN] Áo Khoác Dù DERERRO 2 Lớp /3 Màu Có Túi Trong Unisex 2TCLOTHES,185.000,"Đã bán 2,2k",,https://shopee.vn/-SẴN-Áo-Khoác-Dù-DERERRO-2-Lớp-3-Màu-Có-Túi-Trong-Unisex-2TCLOTHES-i.61218051.23405678461?sp_atk=46daf1b8-4747-4220-9010-d7c616626c0e&xptdk=46daf1b8-4747-4220-9010-d7c616626c0e
38,Áo khoác jacket nhung tăm 2 lớp giá siêu rẻ phù hợp nam nữ,179.000,Đã bán 691,,https://shopee.vn/Áo-khoác-jacket-nhung-tăm-2-lớp-giá-siêu-rẻ-phù-hợp-nam-nữ-i.63168762.16742345449?sp_atk=70dc95bf-23a0-4628-af85-cf97bdfc5941&xptdk=70dc95bf-23a0-4628-af85-cf97bdfc5941
39,ÁO KHÓA SEE NHIỀU MÀU,47.000,Đã bán 746,,https://shopee.vn/ÁO-KHÓA-SEE-NHIỀU-MÀU-i.61381632.7272930561?sp_atk=504a1017-61f6-463f-b54b-e9e48a84e9df&xptdk=504a1017-61f6-463f-b54b-e9e48a84e9df
40,Áo Khoác Nam Vải Dày Dặn - Áo Khoác 3 Sọc Nam-Nữ 2 Lớp cách nhiệt hot trend siêu ngầu,99.000,"Đã bán 14,7k",,https://shopee.vn/Áo-Khoác-Nam-Vải-Dày-Dặn-Áo-Khoác-3-Sọc-Nam-Nữ-2-Lớp-cách-nhiệt-hot-trend-siêu-ngầu-i.17475845.7892819445?sp_atk=9e4f2eee-b781-4220-b2a2-85c53dbffdd2&xptdk=9e4f2eee-b781-4220-b2a2-85c53dbffdd2
41,Áo Hoodie Zip NOCTURNAL Signature Basic Nỉ Chân Cua Cotton 100% Unisex Local Brand,350.000,"Đã bán 6,2k",,https://shopee.vn/Áo-Hoodie-Zip-NOCTURNAL-Signature-Basic-Nỉ-Chân-Cua-Cotton-100-Unisex-Local-Brand-i.37144829.18245506014?sp_atk=50a13a33-ba1e-412d-ad05-6cb4c25872a3&xptdk=50a13a33-ba1e-412d-ad05-6cb4c25872a3
